"Concordance between the North American Industry Classification System (NAICS) Canada 2017 Version 3.0 and the International Standard Industrial Classification (ISIC), Rev. 4",,,,
NAICS Canada 2017 Version 3.0 Code,NAICS Canada 2017 Version 3.0 Title,ISIC Rev. 4 Code,ISIC Rev. 4 Title,Explanatory Notes
322220,Paper bag and coated and treated paper manufacturing,C2599*,Manufacture of other fabricated metal products n.e.c.,"Bags, made from purchased foil"
322230,Stationery product manufacturing,C1709*,Manufacture of other articles of paper and paperboard,"Stationery product, manufacturing"
322291,Sanitary paper product manufacturing,C1709*,Manufacture of other articles of paper and paperboard,"Sanitary paper product, manufacturing"
322299,All other converted paper product manufacturing,C1701*,"Manufacture of pulp, paper and paperboard","Crepe paper, made from purchased paper"
322299,All other converted paper product manufacturing,C1702*,Manufacture of corrugated paper and paperboard and of containers of paper and paperboard,"Die-cut paper products (except for office use), made from purchased paper or paperboard, manufacturing"
322299,All other converted paper product manufacturing,C1709*,Manufacture of other articles of paper and paperboard,"Converted paper products n.e.c. (articles made of coated or laminated paper), and paper novelties, manufacturing"
323113,Commercial screen printing,C1313*,Finishing of textiles,"Screen printing on made-up textile articles (e.g., placemats, napkins and towels)"
323113,Commercial screen printing,C1811*,Printing,"Screen printing labels and tags; screen printing on plastics, glass, paper and metal"
323114,Quick printing,C1811*,Printing,Quick printing
323114,Quick printing,N8219*,"Photocopying, document preparation and other specialized office support activities","Quick printing, combined with photocopy services"
323115,Digital printing,C1811*,Printing,Digital printing
323116,Manifold business forms printing,C1811*,Printing,"Manifold business forms printing (e.g., check book and refills, business forms, sales book)"
323119,Other printing,C1709*,Manufacture of other articles of paper and paperboard,"Labels and tags (except silk-screen), printing"
323119,Other printing,C1811*,Printing,"Printing, n.e.c. (e.g., blankbooks, photo albums, scrapbooks, and loose-leaf binders)"
323120,Support activities for printing,C1812,Service activities related to printing,
324110,Petroleum refineries,C1920*,Manufacture of refined petroleum products,"Petroleum products, manufactured in refineries"
324121,Asphalt paving mixture and block manufacturing,C2399*,Manufacture of other non-metallic mineral products n.e.c.,"Asphalt paving mixture and block, manufacturing"
324122,Asphalt shingle and coating material manufacturing,C2399*,Manufacture of other non-metallic mineral products n.e.c.,"Asphalt shingle and coating material, manufacturing"
324190,Other petroleum and coal product manufacturing,C1629*,"Manufacture of other products of wood; manufacture of articles of cork, straw and plaiting materials","Pressed sawdust logs with petroleum binder, manufacturing"
324190,Other petroleum and coal product manufacturing,C1910*,Manufacture of coke oven products,Manufacture of coke oven products
324190,Other petroleum and coal product manufacturing,C1920*,Manufacture of refined petroleum products,"Hard coal fuel briquettes, lignite coal fuel briquettes, lubricating oils and greases; products made from refined petroleum, manufacturing"
325110,Petrochemical manufacturing,C1920*,Manufacture of refined petroleum products,"Lubricating oils and greases; products made from refined petroleum, manufacturing"
325110,Petrochemical manufacturing,C2011*,Manufacture of basic chemicals,"Petrochemicals (i.e., cyclic aromatic and acyclic (aliphatic) hydrocarbons), manufacturing"
325120,Industrial gas manufacturing,C2011*,Manufacture of basic chemicals,"Industrial gas (e.g., refrigerant gases, liquid or compressed air, dry ice), manufacturing"
325130,Synthetic dye and pigment manufacturing,C2011*,Manufacture of basic chemicals,"Synthetic dye and pigment, manufacturing"
325181,Alkali and chlorine manufacturing,C2011*,Manufacture of basic chemicals,"Alkali (e.g., sodium bicarbonate, caustic soda) and chlorine, manufacturing"
325189,All other basic inorganic chemical manufacturing,C2011*,Manufacture of basic chemicals,"Nuclear fuel elements; radioactive chemical elements, and inorganic basic chemicals n.e.c., manufacturing"
325189,All other basic inorganic chemical manufacturing,C2012*,Manufacture of fertilizers and nitrogen compounds,"Ammonium chloride, hydroxide and molybdate, manufacturing"
325190,Other basic organic chemical manufacturing,C1910*,Manufacture of coke oven products,"Pitch, made by distillation of coal tar"
325190,Other basic organic chemical manufacturing,C2011*,Manufacture of basic chemicals,"Organic basic chemicals n.e.c., manufacturing"
325190,Other basic organic chemical manufacturing,C2022*,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Water pigments for finishing leather, manufacturing"
325190,Other basic organic chemical manufacturing,C2029*,Manufacture of other chemical products n.e.c.,"Fatty acids, synthetic essential oils, manufacturing"
325190,Other basic organic chemical manufacturing,C2100*,"Manufacture of pharmaceuticals, medicinal chemical and botanical products","Salicylic acid (except medicinal), manufacturing"
325210,Resin and synthetic rubber manufacturing,C2013*,Manufacture of plastics and synthetic rubber in primary forms,"Resin and synthetic rubber, manufacturing"
325220,Artificial and synthetic fibres and filaments manufacturing,C2030,Manufacture of man-made fibres,
325220,Artificial and synthetic fibres and filaments manufacturing,C2220*,Manufacture of plastics products,"Cellophane film or sheet, manufacturing"
325313,Chemical fertilizer (except potash) manufacturing,C2011*,Manufacture of basic chemicals,"Phosphoric acid, manufacturing"
325313,Chemical fertilizer (except potash) manufacturing,C2012*,Manufacture of fertilizers and nitrogen compounds,"Chemical fertilizers (except potash and phosphoric acid), manufacturing"
325314,Mixed fertilizer manufacturing,C2012*,Manufacture of fertilizers and nitrogen compounds,"Mixed fertilizer (e.g., nitrogenous, phosphatic or potassic), manufacturing"
325320,Pesticide and other agricultural chemical manufacturing,C2021*,Manufacture of pesticides and other agrochemical products,"Pesticide and other agricultural chemical, manufacturing"
325410,Pharmaceutical and medicine manufacturing,C2029*,Manufacture of other chemical products n.e.c.,"Diagnostic reagents, manufacturing"
325410,Pharmaceutical and medicine manufacturing,C2100*,"Manufacture of pharmaceuticals, medicinal chemical and botanical products","Radioactive in-vivo diagnostic substances, pharmaceutical and medicinal products (including salicylic acid), manufacturing"
325510,Paint and coating manufacturing,C2022*,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Paint and coating, manufacturing"
325520,Adhesive manufacturing,C2022*,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Caulking compounds, manufacturing"
325520,Adhesive manufacturing,C2029*,Manufacture of other chemical products n.e.c.,"Adhesives, manufacturing"
325610,Soap and cleaning compound manufacturing,C2011*,Manufacture of basic chemicals,"Lyes, manufacturing"
325610,Soap and cleaning compound manufacturing,C2021*,Manufacture of pesticides and other agrochemical products,"Household and industrial disinfectants, manufacturing"
325610,Soap and cleaning compound manufacturing,C2023*,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Soap and cleaning compounds n.e.c., manufacturing"
325610,Soap and cleaning compound manufacturing,C2029*,Manufacture of other chemical products n.e.c.,"Textile and leather finishing agents (e.g., soluble oils, softeners and penetrants); laundry starches, manufacturing"
325620,Toilet preparation manufacturing,C2023*,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Toilet preparation (including hair dyes and tints), manufacturing"
325910,Printing ink manufacturing,C2022*,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Printing ink, manufacturing"
325920,Explosives manufacturing,C2029*,Manufacture of other chemical products n.e.c.,"Explosives and pyrotechnic products (e.g., propellant powders), manufacturing"
325991,Custom compounding of purchased resins,C2013*,Manufacture of plastics and synthetic rubber in primary forms,Custom compounding of purchased resins
325999,All other miscellaneous chemical product manufacturing,C2011*,Manufacture of basic chemicals,"Distilled water, manufacturing"
325999,All other miscellaneous chemical product manufacturing,C2022*,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics","Textile dye preparations and other household dye or tinting preparations (except hair), manufacturing"
325999,All other miscellaneous chemical product manufacturing,C2023*,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Degreasing solvents and incense, manufacturing"
325999,All other miscellaneous chemical product manufacturing,C2029*,Manufacture of other chemical products n.e.c.,"Specialty chemical preparations n.e.c. (e.g., photographic chemicals and film, plates and paper; synthetic oils (e.g., cutting, lubricating); natural essential oils; fireworks; writing and drawing inks; matches; barbecue starter fluid), manufacturing"
325999,All other miscellaneous chemical product manufacturing,C2399*,Manufacture of other non-metallic mineral products n.e.c.,"Drilling mud compounds, conditioners and additives (except bentonite), manufacturing"
325999,All other miscellaneous chemical product manufacturing,C2817*,Manufacture of office machinery and equipment (except computers and peripheral equipment),"Toner cartridges, manufacturing"
325999,All other miscellaneous chemical product manufacturing,N8292*,Packaging activities,Aerosol packaging services
326111,Plastic bag and pouch manufacturing,C2220*,Manufacture of plastics products,"Plastic bag and pouch, manufacturing"
326114,Plastic film and sheet manufacturing,C2220*,Manufacture of plastics products,"Plastic film and sheet (including packaging), manufacturing"
326121,Unlaminated plastic profile shape manufacturing,C2220*,Manufacture of plastics products,"Unlaminated plastic profile shape, manufacturing"
326122,Plastic pipe and pipe fitting manufacturing,C2220*,Manufacture of plastics products,"Plastic pipe and pipe fitting, manufacturing"
326130,"Laminated plastic plate, sheet (except packaging), and shape manufacturing",C2220*,Manufacture of plastics products,"Laminated plastic plate, sheet (except packaging) and shape, manufacturing"
326140,Polystyrene foam product manufacturing,C2220*,Manufacture of plastics products,"Polystyrene foam product, manufacturing"
326150,"Urethane and other foam product (except polystyrene), manufacturing",C2220*,Manufacture of plastics products,"Urethane and other foam product (except polystyrene), manufacturing"
326160,Plastic bottle manufacturing,C2220*,Manufacture of plastics products,"Plastic bottle, manufacturing"
326191,Plastic plumbing fixture manufacturing,C2220*,Manufacture of plastics products,"Plastic plumbing fixture, manufacturing"
326193,Motor vehicle plastic parts manufacturing,C2220*,Manufacture of plastics products,"Motor vehicle plastic parts, manufacturing"
326196,Plastic window and door manufacturing,C2220*,Manufacture of plastics products,"Plastic window and door, manufacturing"
326198,All other plastic product manufacturing,C2220*,Manufacture of plastics products,"Plastics products, n.e.c. (e.g., vinyl floor coverings, fasteners, plastic shoe parts, bottle lids, packaging materials, containers, lens blanks), manufacturing"
326198,All other plastic product manufacturing,C2720*,Manufacture of batteries and accumulators,"Plastic battery cases, manufacturing"
326198,All other plastic product manufacturing,C2920*,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,"Plastic air-freight containers, manufacturing"
326198,All other plastic product manufacturing,C3100*,Manufacture of furniture,"Plastics counter tops, not fabricated at the construction site, manufacturing"
326210,Tire manufacturing,C2211,Manufacture of rubber tyres and tubes; retreading and rebuilding of rubber tyres,
326210,Tire manufacturing,C2219*,Manufacture of other rubber products,Tire repair or retreading
326220,Rubber and plastic hose and belting manufacturing,C2219*,Manufacture of other rubber products,"Rubber hose and belting, manufacturing"
326220,Rubber and plastic hose and belting manufacturing,C2220*,Manufacture of plastics products,"Plastic hose and belting, manufacturing"
326290,Other rubber product manufacturing,C2219*,Manufacture of other rubber products,"Miscellaneous rubber products n.e.c., including reclaimed rubber (e.g., air mattresses, boot and shoe heels and soles of rubber, condoms, floor mats, printer's blankets), manufacturing"
326290,Other rubber product manufacturing,C2720*,Manufacture of batteries and accumulators,"Battery containers and parts of rubber, manufacturing"
327110,"Pottery, ceramics and plumbing fixture manufacturing",C2392*,Manufacture of clay building materials,"Bathroom accessories, vitreous china, ceramic, and earthenware, manufacturing"
327110,"Pottery, ceramics and plumbing fixture manufacturing",C2393,Manufacture of other porcelain and ceramic products,
327120,Clay building material and refractory manufacturing,C2391,Manufacture of refractory products,
327120,Clay building material and refractory manufacturing,C2392*,Manufacture of clay building materials,Manufacture of clay building materials
327120,Clay building material and refractory manufacturing,C2395*,"Manufacture of articles of concrete, cement and plaster","Adobe bricks and similar articles of fibre cement, manufacturing"
327214,Glass manufacturing,C2310*,Manufacture of glass and glass products,"Glass, manufacturing"
327215,Glass product manufacturing from purchased glass,C2310*,Manufacture of glass and glass products,"Glass product, manufacturing from purchased glass"
327310,Cement manufacturing,C2394*,"Manufacture of cement, lime and plaster","Cement, manufacturing"
327320,Ready-mix concrete manufacturing,C2395*,"Manufacture of articles of concrete, cement and plaster","Ready-mix concrete, manufacturing"
327330,"Concrete pipe, brick and block manufacturing",C2395*,"Manufacture of articles of concrete, cement and plaster","Concrete pipe, brick and block, manufacturing"
327390,Other concrete product manufacturing,C2395*,"Manufacture of articles of concrete, cement and plaster","Other concrete product (e.g., corrugated products and statuary), manufacturing"
327410,Lime manufacturing,C2394*,"Manufacture of cement, lime and plaster","Lime, manufacturing"
327420,Gypsum product manufacturing,C2394*,"Manufacture of cement, lime and plaster","Calcined gypsum (plaster), manufacturing"
327420,Gypsum product manufacturing,C2395*,"Manufacture of articles of concrete, cement and plaster","Gypsum products (except plaster), manufacturing"
327910,Abrasive product manufacturing,C2399*,Manufacture of other non-metallic mineral products n.e.c.,"Abrasive product (e.g., sandpaper), manufacturing"
327990,All other non-metallic mineral product manufacturing,C2310*,Manufacture of glass and glass products,"Fibreglass insulation products, manufacturing"
327990,All other non-metallic mineral product manufacturing,C2395*,"Manufacture of articles of concrete, cement and plaster","Sand-lime products (e.g., bricks, blocks); cement base stucco and stucco products; concrete dry mixture, manufacturing"
327990,All other non-metallic mineral product manufacturing,C2396*,"Cutting, shaping and finishing of stone","Cut stone products (e.g., bases, blocks, furniture, statuary, tombstones), dimension stone for buildings, manufacturing"
327990,All other non-metallic mineral product manufacturing,C2399*,Manufacture of other non-metallic mineral products n.e.c.,"Nonmetallic mineral products, n.e.c. (e.g., mineral wool, mica products, ultra high purity silicon), manufacturing; slag, processing"
327990,All other non-metallic mineral product manufacturing,C3211*,Manufacture of jewellery and related articles,"Synthetic precious or semiprecious stones for jewelry uses, manufacturing and working (except setting)"
331110,Iron and steel mills and ferro-alloy manufacturing,C2410*,Manufacture of basic iron and steel,"Iron and steel mills and ferro-alloy, manufacturing"
331210,Iron and steel pipes and tubes manufacturing from purchased steel,C2431*,Casting of iron and steel,Iron and steel pipes and tubes manufacturing from purchased steel
331221,Cold-rolled steel shape manufacturing,C2410*,Manufacture of basic iron and steel,"Cold-rolled steel shape, manufacturing"
331222,Steel wire drawing,C2410*,Manufacture of basic iron and steel,"Wire, drawing from purchased steel or iron"
331222,Steel wire drawing,C2599*,Manufacture of other fabricated metal products n.e.c.,"Iron or steel wire products and cable, made in wire-drawing plants"
331222,Steel wire drawing,C2732*,Manufacture of other electronic and electric wires and cables,"Insulated steel cable capable of being used as a conductor, made in wire-drawing plants"
331222,Steel wire drawing,C3099*,Manufacture of other transport equipment n.e.c.,"Iron or steel wire carts (e.g., household, grocery, industrial), made in wire-drawing plants"
331313,Primary production of alumina and aluminum,C2420*,Manufacture of basic precious and other non-ferrous metals,"Primary production of alumina and aluminum (e.g., refining and smelting)"
331317,"Aluminum rolling, drawing, extruding and alloying",C2420*,Manufacture of basic precious and other non-ferrous metals,"Rolling, drawing, extruding and alloying purchased aluminum (except wire products)"
331317,"Aluminum rolling, drawing, extruding and alloying",C2599*,Manufacture of other fabricated metal products n.e.c.,"Aluminum wire products, made in wire-drawing plants"
331317,"Aluminum rolling, drawing, extruding and alloying",C2732*,Manufacture of other electronic and electric wires and cables,"Insulated aluminum wire (e.g., apparatus, energy, coaxial, communication) made in aluminum wire drawing plants"
331410,Non-ferrous metal (except aluminum) smelting and refining,C2420*,Manufacture of basic precious and other non-ferrous metals,"Non-ferrous metal (except aluminum), smelting and refining"
331420,"Copper rolling, drawing, extruding and alloying",C2420*,Manufacture of basic precious and other non-ferrous metals,"Rolling, drawing, extruding and alloying purchased copper"
331420,"Copper rolling, drawing, extruding and alloying",C2599*,Manufacture of other fabricated metal products n.e.c.,"Copper mechanical wire products, made in wire-drawing mills; copper wire products, such as wire mesh made in wire-drawing mills"
331420,"Copper rolling, drawing, extruding and alloying",C2732*,Manufacture of other electronic and electric wires and cables,"Energy wire or cable, insulated, made in copper wire drawing plants"
331490,"Non-ferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",C2420*,Manufacture of basic precious and other non-ferrous metals,"Rolling, drawing, extruding, alloying and secondary refining of purchased nonferrous metal (except copper and aluminum)"
331490,"Non-ferrous metal (except copper and aluminum) rolling, drawing, extruding and alloying",C2599*,Manufacture of other fabricated metal products n.e.c.,"Non-ferrous (except copper and aluminum) wire mesh, cloth and nails, made in wire-drawing plant"
331511,Iron foundries,C2431*,Casting of iron and steel,"Iron foundries; cast iron pipe and pipe fittings; municipal castings (e.g., manhole covers, sewer grates), manufacturing"
331511,Iron foundries,C2823*,Manufacture of machinery for metallurgy,"Rolling mill rolls and moulds for casting steel ingots, manufacturing"
331514,Steel foundries,C2431*,Casting of iron and steel,Steel foundries
331523,Non-ferrous die-casting foundries,C2432*,Casting of non-ferrous metals,"Nonferrous metal, die-casting"
331529,Non-ferrous foundries (except die-casting),C2432*,Casting of non-ferrous metals,"Nonferrous metal, casting (except die-casting)"
332113,Forging,C2591*,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",Forging
332118,Stamping,C2591*,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy","Metal, stamping (except motor vehicle); custom roll forming; powder metallurgy"
332118,Stamping,C2599*,Manufacture of other fabricated metal products n.e.c.,"Metal closures (e.g., bottle caps, jar lids), stamping"
332210,Cutlery and hand tool manufacturing,C2593*,"Manufacture of cutlery, hand tools and general hardware","Cutlery, tools, saw blades, manufacturing"
332210,Cutlery and hand tool manufacturing,C2599*,Manufacture of other fabricated metal products n.e.c.,"Metal kitchen utensils (except sieves), fabricating"
332210,Cutlery and hand tool manufacturing,C2790*,Manufacture of other electrical equipment,"Hand-held soldering guns and irons (including electric), manufacturing"
332210,Cutlery and hand tool manufacturing,C2816*,Manufacture of lifting and handling equipment,"Jacks (except hydraulic or pneumatic), manufacturing"
332210,Cutlery and hand tool manufacturing,C2819*,Manufacture of other general-purpose machinery,"Hand-held measuring tools, manufacturing"
332210,Cutlery and hand tool manufacturing,C2821*,Manufacture of agricultural and forestry machinery,"Non-powered lawn mowers, manufacturing"
332210,Cutlery and hand tool manufacturing,C3290*,Other manufacturing n.e.c.,"Hand sieves, manufacturing"
332311,Prefabricated metal building and component manufacturing,C2511*,Manufacture of structural metal products,"Prefabricated metal building and component, manufacturing"
332314,Concrete reinforcing bar manufacturing,C2410*,Manufacture of basic iron and steel,"Concrete reinforcing bar, manufacturing"
332319,Other plate work and fabricated structural product manufacturing,C2511*,Manufacture of structural metal products,"Plate work; fabricated structural metal products (e.g., bar joists), manufacturing"
332319,Other plate work and fabricated structural product manufacturing,C2512*,"Manufacture of tanks, reservoirs and containers of metal","Hoppers and metal plate work containers, manufacturing"
332319,Other plate work and fabricated structural product manufacturing,C2513*,"Manufacture of steam generators, except central heating hot water boilers","Metal plate nuclear shielding and nuclear reactor containment vessels, fabricating"
332319,Other plate work and fabricated structural product manufacturing,C2816*,Manufacture of lifting and handling equipment,"Laminated-plate crane hooks, manufacturing"
332319,Other plate work and fabricated structural product manufacturing,C2823*,Manufacture of machinery for metallurgy,"Ladle bails, manufacturing"
332319,Other plate work and fabricated structural product manufacturing,C3011*,Building of ships and floating structures,"Prefabricated, metal ship and barge sections, and buoys, manufacturing"
332319,Other plate work and fabricated structural product manufacturing,C3012*,Building of pleasure and sporting boats,"Prefabricated metal boat sections, manufacturing"
332321,Metal window and door manufacturing,C2511*,Manufacture of structural metal products,"Metal window and door, manufacturing"
332329,Other ornamental and architectural metal product manufacturing,C2511*,Manufacture of structural metal products,"Ornamental and architectural metal products n.e.c., manufacturing"
332329,Other ornamental and architectural metal product manufacturing,C2599*,Manufacture of other fabricated metal products n.e.c.,"Metal-chain ladders, manufacturing; sheet metal countertops, not fabricated at the site of construction"
332410,Power boiler and heat exchanger manufacturing,C2513*,"Manufacture of steam generators, except central heating hot water boilers","Power boilers, manufacturing"
332410,Power boiler and heat exchanger manufacturing,C2819*,Manufacture of other general-purpose machinery,"Heat exchangers and steam-jet aftercoolers, manufacturing"
332420,Metal tank (heavy gauge) manufacturing,C2512*,"Manufacture of tanks, reservoirs and containers of metal","Heavy-gauge metal tanks (including pressure vessels), manufacturing"
332420,Metal tank (heavy gauge) manufacturing,C2819*,Manufacture of other general-purpose machinery,"Gas absorbers, autoclaves, and fractionating columns and towers, manufacturing"
332420,Metal tank (heavy gauge) manufacturing,C2823*,Manufacture of machinery for metallurgy,"Pots (e.g., annealing, melting, smelting), manufacturing"
332420,Metal tank (heavy gauge) manufacturing,C2920*,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,"Liquid containers specially designed for one or more modes of transportation, manufacturing"
332431,Metal can manufacturing,C2599*,Manufacture of other fabricated metal products n.e.c.,"Metal can, manufacturing"
332439,Other metal container manufacturing,C2512*,"Manufacture of tanks, reservoirs and containers of metal","Light-gauge metal bins (e.g., grain and feed storage) and vats, manufacturing"
332439,Other metal container manufacturing,C2599*,Manufacture of other fabricated metal products n.e.c.,"Light-gauge metal containers n.e.c. (e.g., boxes, garbage cans) and metal vacuum bottles and jugs, manufacturing"
332439,Other metal container manufacturing,C2920*,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,"Light-gauge metal air-cargo containers, manufacturing"
332510,Hardware manufacturing,C2593*,"Manufacture of cutlery, hand tools and general hardware","Hardware, manufacturing"
332611,Spring (heavy gauge) manufacturing,C2599*,Manufacture of other fabricated metal products n.e.c.,"Spring (heavy gauge), manufacturing"
332619,Other fabricated wire product manufacturing,C2599*,Manufacture of other fabricated metal products n.e.c.,"Nails, brads and staples; light-gauge metal springs (except precision), made from purchased wire"
332619,Other fabricated wire product manufacturing,C3290*,Other manufacturing n.e.c.,"Other hand sieves, manufacturing"
332710,Machine shops,C2592*,Treatment and coating of metals; machining,Machining metal parts on a job order basis
332710,Machine shops,C2599*,Manufacture of other fabricated metal products n.e.c.,"Precision turned product, manufacturing"
332720,"Turned product and screw, nut and bolt manufacturing",C2599*,Manufacture of other fabricated metal products n.e.c.,"Turned product and screw, nut and bolt, manufacturing"
332810,"Coating, engraving, cold and heat treating and allied activities",C2592*,Treatment and coating of metals; machining,"Coating, engraving, heat treating and allied activities"
332910,Metal valve manufacturing,C2410*,Manufacture of basic iron and steel,"Ferrous metal fluid-power pipe fittings, manufacturing"
332910,Metal valve manufacturing,C2420*,Manufacture of basic precious and other non-ferrous metals,"Non-ferrous metal fluid-power pipe fittings, manufacturing"
332910,Metal valve manufacturing,C2812*,Manufacture of fluid power equipment,"Rubber hose and tube assemblies with fittings, manufacturing"
332910,Metal valve manufacturing,C2813*,"Manufacture of other pumps, compressors, taps and valves","Metal valves, manufacturing; fire hydrants, complete, manufacturing"
332910,Metal valve manufacturing,C2819*,Manufacture of other general-purpose machinery,"Lawn sprinklers, manufacturing"
332991,Ball and roller bearing manufacturing,C2814*,"Manufacture of bearings, gears, gearing and driving elements","Ball and roller bearing, manufacturing"
332999,All other miscellaneous fabricated metal product manufacturing,C1709*,Manufacture of other articles of paper and paperboard,"Ammunition wads, manufacturing"
332999,All other miscellaneous fabricated metal product manufacturing,C2023*,"Manufacture of soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Soap-impregnated metal scouring pads, manufacturing"
332999,All other miscellaneous fabricated metal product manufacturing,C2029*,Manufacture of other chemical products n.e.c.,"Ammunition detonators and percussion caps, manufacturing"
332999,All other miscellaneous fabricated metal product manufacturing,C2410*,Manufacture of basic iron and steel,"Fabricated metal pipe fittings made from purchased pipe, steel"
332999,All other miscellaneous fabricated metal product manufacturing,C2420*,Manufacture of basic precious and other non-ferrous metals,"Pipe and pipe fittings, made from purchased metal pipe (non-ferrous)"
332999,All other miscellaneous fabricated metal product manufacturing,C2520,Manufacture of weapons and ammunition,
332999,All other miscellaneous fabricated metal product manufacturing,C2593*,"Manufacture of cutlery, hand tools and general hardware","Industrial patterns, manufacturing"
332999,All other miscellaneous fabricated metal product manufacturing,C2599*,Manufacture of other fabricated metal products n.e.c.,Manufacture of other fabricated metal products n.e.c.
333110,Agricultural implement manufacturing,C2813*,"Manufacture of other pumps, compressors, taps and valves","Farm-type windmills, manufacturing"
333110,Agricultural implement manufacturing,C2818*,Manufacture of power-driven hand tools,"Powered hand tools for lawn and garden use (e.g., hedge trimmers, leaf blowers); electric hand held animal hair clippers (shears), manufacturing"
333110,Agricultural implement manufacturing,C2821*,Manufacture of agricultural and forestry machinery,"Agricultural implements (e.g., ploughing, planting, harvesting, threshing, machinery; lawn and garden wagons), manufacturing"
333110,Agricultural implement manufacturing,C2825*,"Manufacture of machinery for food, beverage and tobacco processing","Farm-type grain and seed driers; cleaning, sorting and grading machines; cream separators; tobacco curers; nut shellers, manufacturing"
333110,Agricultural implement manufacturing,C2826*,"Manufacture of machinery for textile, apparel and leather production","Cotton ginning machinery, manufacturing"
333110,Agricultural implement manufacturing,C3099*,Manufacture of other transport equipment n.e.c.,"Farm wagon, manufacturing"
333120,Construction machinery manufacturing,C2593*,"Manufacture of cutlery, hand tools and general hardware","General purpose rock drill bits, manufacturing"
333120,Construction machinery manufacturing,C2816*,Manufacture of lifting and handling equipment,"Construction cranes, manufacturing"
333120,Construction machinery manufacturing,C2818*,Manufacture of power-driven hand tools,"Hand-held construction drilling equipment, manufacturing"
333120,Construction machinery manufacturing,C2819*,Manufacture of other general-purpose machinery,"Roadway and parking area line-marking machinery, manufacturing"
333120,Construction machinery manufacturing,C2821*,Manufacture of agricultural and forestry machinery,"Tree harvesting and handling machinery, manufacturing"
333120,Construction machinery manufacturing,C2824*,"Manufacture of machinery for mining, quarrying and construction","Construction machinery, manufacturing; excavating buckets (e.g., clamshell, concrete, dragline, drag scraper, shovel), manufacturing; concrete pumps, manufacturing"
333130,Mining and oil and gas field machinery manufacturing,C2593*,"Manufacture of cutlery, hand tools and general hardware","Drilling bits (oil and gas field equipment), manufacturing"
333130,Mining and oil and gas field machinery manufacturing,C2816*,Manufacture of lifting and handling equipment,"Mining car dumpers, manufacturing"
333130,Mining and oil and gas field machinery manufacturing,C2818*,Manufacture of power-driven hand tools,"Hand-held mine drilling equipment, manufacturing"
333130,Mining and oil and gas field machinery manufacturing,C2824*,"Manufacture of machinery for mining, quarrying and construction","Mining and oil and gas field machinery, n.e.c. (e.g., amalgamators, augers, ore crushers, underground drilling equipment, quarrying machinery), manufacturing"
333130,Mining and oil and gas field machinery manufacturing,C3020*,Manufacture of railway locomotives and rolling stock,"Mining cars, manufacturing"
333245,Sawmill and woodworking machinery manufacturing,C2822*,Manufacture of metal-forming machinery and machine tools,"Sawmill and woodworking machinery, manufacturing"
333246,Rubber and plastics industry machinery manufacturing,C2822*,Manufacture of metal-forming machinery and machine tools,"Hard plastic and hard rubber working machinery, manufacturing"
333246,Rubber and plastics industry machinery manufacturing,C2829*,Manufacture of other special-purpose machinery,"Rubber and plastics industry machinery, manufacturing"
333247,Paper industry machinery manufacturing,C2821*,Manufacture of agricultural and forestry machinery,"Stationary log debarking machinery; log splitters, manufacturing"
333247,Paper industry machinery manufacturing,C2829*,Manufacture of other special-purpose machinery,"Pulp and paper industry machinery, manufacturing"
333248,All other industrial machinery manufacturing,C2815*,"Manufacture of ovens, furnaces and furnace burners","Chemical or cement kilns, manufacturing"
333248,All other industrial machinery manufacturing,C2819*,Manufacture of other general-purpose machinery,"Degreasing and desalination equipment, distilling machinery and calendaring machine for textiles, manufacturing"
333248,All other industrial machinery manufacturing,C2822*,Manufacture of metal-forming machinery and machine tools,"Stone-working machinery and electroplating machinery and equipment, manufacturing"
333248,All other industrial machinery manufacturing,C2823*,Manufacture of machinery for metallurgy,"Metal casting machinery n.e.c., manufacturing"
333248,All other industrial machinery manufacturing,C2825*,"Manufacture of machinery for food, beverage and tobacco processing","Food, beverage and tobacco processing machinery n.e.c, manufacturing"
333248,All other industrial machinery manufacturing,C2826*,"Manufacture of machinery for textile, apparel and leather production","Textile, clothing and footwear machinery n.e.c., manufacturing"
333248,All other industrial machinery manufacturing,C2829*,Manufacture of other special-purpose machinery,"Industrial manufacturing machinery, n.e.c., manufacturing"
333248,All other industrial machinery manufacturing,C3250*,Manufacture of medical and dental instruments and supplies,"Laboratory distilling apparatus, manufacturing"
